Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Notes
7.0,99,Yes,9.0,1,91.0,excellent
4.0,82,No,4.0,2,65.0,review
8.0,51,Yes,7.0,2,45.0,review
5.0,52,Yes,5.0,2,36.0,excellent
7.0,75,No,8.0,5,66.0,review
3.0,78,No,9.0,6,61.0,excellent
,73,Yes,,6,63.0,excellent
8.0,45,Yes,4.0,6,42.0,review
5.0,77,No,8.0,2,61.0,excellent
4.0,89,No,4.0,0,69.0,review
,91,No,4.0,5,84.0,review
8.0,79,No,6.0,2,73.0,review
3.0,47,No,9.0,2,27.0,review
6.0,47,No,4.0,2,33.0,review
5.0,79,No,7.0,8,68.0,review
2.0,72,No,,3,43.0,excellent
8.0,73,Yes,,4,67.0,excellent
6.0,83,Yes,7.0,2,70.0,excellent
2.0,54,Yes,4.0,9,30.0,excellent
5.0,75,No,7.0,0,63.0,review
1.0,99,Yes,4.0,3,71.0,review
6.0,96,No,,0,85.0,review
9.0,74,Yes,7.0,6,73.0,review
1.0,85,No,,6,57.0,excellent
3.0,61,No,6.0,3,35.0,excellent
7.0,62,Yes,7.0,4,49.0,review
4.0,79,No,8.0,9,66.0,review
9.0,84,Yes,6.0,6,83.0,review
3.0,94,Yes,6.0,5,74.0,review
,90,Yes,4.0,3,74.0,review
3.0,61,Yes,,3,39.0,excellent
7.0,44,Yes,9.0,1,36.0,review
,70,Yes,6.0,9,58.0,excellent
9.0,52,Yes,8.0,1,47.0,review
7.0,67,Yes,9.0,3,60.0,review
2.0,97,Yes,9.0,4,74.0,excellent
4.0,59,No,8.0,3,42.0,excellent
,72,No,8.0,2,68.0,review
2.0,55,Yes,4.0,1,32.0,excellent
9.0,68,No,5.0,3,64.0,review
5.0,62,No,7.0,4,45.0,review
2.0,63,Yes,6.0,0,39.0,excellent
,73,Yes,7.0,0,58.0,excellent
7.0,46,No,9.0,5,36.0,review
8.0,77,Yes,6.0,4,71.0,review
3.0,76,Yes,4.0,3,54.0,excellent
1.0,43,Yes,7.0,0,17.0,review
4.0,73,No,,6,54.0,review
2.0,81,Yes,4.0,3,58.0,excellent
8.0,61,No,7.0,2,53.0,excellent
4.0,44,Yes,7.0,6,27.0,review
